"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"S. Charles","England 2.","Southampton","LCMF, LDMF","22","0","2027-06-30","17","1333","1","1.27","1","1.21","England","right","189","no","8.03","5.81","58.14","3.17","51.06","0.34","6.98","0.07","0.09","0","14","0.95","28.57","7.143","0.47","28.57","1.62","50","6.55","54.64","1.08","0.68","0.07","45.51","84.57","15.6","71","3.44","49.02","0.08","0.14","0.61","7.76","72.17","1.82","51.85","0.81","6.55","75.26","","","0","0","","",""
"G. Thomason","England 2.","Wrexham","LCMF, LWB","25","600000","2028-06-30","19","1331","0","0.74","3","2.51","England","left","177","no","8.38","6.9","55.88","2.3","44.12","0.27","5.34","0","0.05","0","12","0.81","16.67","0","1.56","34.78","0.74","54.55","3.58","58.49","1.56","1.56","0.41","35.77","81.66","9.87","64.38","2.64","38.46","0.17","0","0.41","3.38","66","1.62","41.67","0.47","5.21","66.23","","","0","0","","",""
"S. Armstrong","England 2.","Bristol City","CF","22","0","2028-06-30","30","1328","3","4.43","0","0.25","Republic of Ireland","right","182","no","1.76","1.42","47.62","2.3","32.35","0.14","1.38","0.2","0.3","0","32","2.17","53.13","9.375","0.34","40","2.3","35.29","10.17","30","3.66","2.71","1.29","13.35","82.74","2.17","71.88","0.34","80","0.02","0","0.07","0.95","78.57","0.34","40","0.2","1.42","57.14","","","0","0","","",""
"J. Córdoba","England 2.","Norwich City","LCB, LB","24","4500000","2028-06-30","15","1310","0","0.8","1","0.05","Panama","left","187","no","9.62","5.63","71.95","3.09","55.56","0.89","7.95","0","0.05","0","5","0.34","0","0","0.41","50","0.96","64.29","2.89","52.38","0.34","1.31","0","56.47","83.82","24.66","70.47","7.21","42.86","0","0.07","0","6.32","65.22","1.17","52.94","0.48","10.99","61.88","","","0","0","","",""
"S. McCallum","England 2.","Sheffield United","LB, LWB","25","1200000","2028-06-30","20","1306","1","2.02","1","3.35","England","left","177","no","10.82","5.58","62.96","6.82","60.61","0.34","10.31","0.07","0.14","0","19","1.31","52.63","5.263","2.27","30.3","1.24","55.56","3.03","54.55","1.86","1.1","0.07","36.39","71.21","15.64","56.39","6.82","47.47","0.23","0","0.21","7.17","50.96","2.41","37.14","0.69","9.03","74.05","","","0","0","","",""
"J. Swift","England 2.","Portsmouth","RDMF, AMF","30","3200000","2027-06-30","20","1292","1","1.3","1","1.29","England","right","182","no","5.85","4.25","60.66","3.27","38.3","0.07","3.67","0.07","0.09","0","20","1.39","30","5","0.77","36.36","1.11","43.75","4.32","38.71","0.77","0.49","0","44.16","82.97","12.68","65.38","3.13","44.44","0.09","0","0.07","6.13","73.86","1.32","36.84","0.42","5.71","65.85","","","0","0","","",""
"I. Kaboré","England 2.","Wrexham","RWB","24","10000000","2027-06-30","15","1289","0","0.35","3","1.63","Burkina Faso","right","180","yes","7.19","6.42","60.87","1.54","63.64","0","3.69","0","0.02","0","6","0.42","50","0","6.07","31.03","4.61","57.58","9.5","47.79","1.54","2.93","0.21","29.39","73.87","6.7","69.79","1.19","47.06","0.11","0","0.49","1.19","70.59","4.61","33.33","0.28","4.75","67.65","","","0","0","","",""
"B. De Cordova-Reid","England 2.","Leicester City","AMF","33","5000000","2027-06-30","24","1289","5","3.15","1","0.74","England","right","170","no","4.12","3.56","58.82","2.23","43.75","0.07","2.04","0.35","0.22","0","21","1.47","47.62","23.81","0.84","8.33","0.84","25","3.7","26.42","1.61","0.42","0.21","30.86","85.52","8.03","69.57","2.58","48.65","0.05","0.07","0.14","3.63","73.08","1.82","42.31","0.91","3.98","70.18","","","0","0","","",""
"C. Kelman","England 2.","Charlton Athletic","CF","24","300000","2029-06-30","22","1283","4","2.71","0","0.06","England","right","180","no","2.39","2.39","44.12","6.94","18.18","0.07","1.75","0.21","0.19","0","16","1.12","68.75","25","0.84","0","1.61","65.22","6.73","28.13","2.39","0.91","0.14","9.47","64.44","2.46","57.14","0.35","40","0","0","0","0.98","57.14","0.84","41.67","0.56","1.12","81.25","","","0","0","","",""
"J. Williams","England 2.","Portsmouth","RB, LB, LWB","26","1000000","2027-06-30","22","1276","1","0.22","1","0.81","England","right","179","no","8.89","6.84","69.07","2.82","50","0.35","5.38","0.07","0.02","0","2","0.14","50","50","1.69","33.33","1.76","48","3.39","37.5","0.92","1.48","0.42","31.81","76.72","11.85","61.31","4.23","46.67","0.06","0","0.21","4.73","68.66","1.41","45","0.28","6.42","60.44","","","0","0","","",""
"E. Simms","England 2.","Coventry City","CF","25","7000000","2027-06-30","28","1263","11","8.99","2","1.12","England","right","191","no","2.64","1.71","54.17","9.41","53.03","0.29","2.62","0.78","0.64","0.36","40","2.85","57.5","27.5","0.57","37.5","0.93","61.54","4.42","27.42","4.28","0.64","0","11.12","67.31","1.92","44.44","0.14","100","0.08","0","0.21","0.71","40","0.43","16.67","0.29","0.57","37.5","","","0","0","","",""
"D. Burgzorg","England 2.","Bristol City","LAMF, CF","27","1600000","2028-06-30","27","1258","2","3.08","2","1.72","Netherlands","right","186","yes","3.08","2.58","69.44","2.15","23.33","0.07","2","0.14","0.22","0","26","1.86","26.92","7.692","1.57","27.27","4.08","42.11","12.45","35.63","4.79","2.43","0.21","20.68","83.04","3.58","74","0.29","75","0.12","0.29","0.72","0.29","50","1.5","57.14","1.65","2.07","58.62","","","0","0","","",""
"J. Medić","England 2.","Norwich City","RCB","27","2000000","2028-06-30","14","1255","0","0.03","0","0.03","Croatia","right","193","no","8.25","3.66","74.51","3.66","50.98","1.22","7.3","0","0","0","1","0.07","0","0","0.29","0","0.36","60","1.08","40","0.22","0.72","0","58.95","87.83","21.37","76.85","5.67","56.96","0","0","0","6.1","63.53","1.15","12.5","0.22","8.46","68.64","","","0","0","","",""
